"Tabela 5457 - Área plantada ou destinada à colheita, área colhida, quantidade produzida, rendimento médio e valor da produção das lavouras temporárias e permanentes"
"Cód.";"Unidade da Federação e Município";"Ano";"Variável";"Produto das lavouras temporárias e permanentes"
"Cód.";"Unidade da Federação e Município";"Ano";"Variável";"Banana (cacho)";"Batata-doce";"Maçã";"Mandioca";"Melão"
"24";"Rio Grande do Norte";"2020";"Área plantada ou destinada à colheita (Hectares)";"7804";"4979";"-";"22409";"13669"
"24";"Rio Grande do Norte";"2020";"Área plantada ou destinada à colheita - percentual do total geral";"2,38";"1,52";"-";"6,84";"4,17"
"24";"Rio Grande do Norte";"2020";"Área colhida (Hectares)";"7803";"4976";"-";"20391";"13669"
"24";"Rio Grande do Norte";"2020";"Área colhida - percentual do total geral";"2,46";"1,57";"-";"6,43";"4,31"
"24";"Rio Grande do Norte";"2020";"Quantidade produzida (Toneladas)";"193816";"55352";"-";"211288";"375574"
"24";"Rio Grande do Norte";"2020";"Rendimento médio da produção (Quilogramas por Hectare)";"24839";"11124";"-";"10362";"27476"
"24";"Rio Grande do Norte";"2020";"Valor da produção (Mil Reais)";"174082";"81244";"-";"112192";"333139"
"24";"Rio Grande do Norte";"2020";"Valor da produção - percentual do total geral";"8,69";"4,06";"-";"5,60";"16,63"
"2400109";"Acari (RN)";"2020";"Área plantada ou destinada à colheita (Hectares)";"2";"-";"-";"-";"-"
"2400109";"Acari (RN)";"2020";"Área plantada ou destinada à colheita - percentual do total geral";"1,01";"-";"-";"-";"-"
"2400109";"Acari (RN)";"2020";"Área colhida (Hectares)";"2";"-";"-";"-";"-"
"2400109";"Acari (RN)";"2020";"Área colhida - percentual do total geral";"1,01";"-";"-";"-";"-"
"2400109";"Acari (RN)";"2020";"Quantidade produzida (Toneladas)";"44";"-";"-";"-";"-"
"2400109";"Acari (RN)";"2020";"Rendimento médio da produção (Quilogramas por Hectare)";"22000";"-";"-";"-";"-"
"2400109";"Acari (RN)";"2020";"Valor da produção (Mil Reais)";"92";"-";"-";"-";"-"
"2400109";"Acari (RN)";"2020";"Valor da produção - percentual do total geral";"8,66";"-";"-";"-";"-"
"2400208";"Açu (RN)";"2020";"Área plantada ou destinada à colheita (Hectares)";"235";"6";"-";"6";"100"
"2400208";"Açu (RN)";"2020";"Área plantada ou destinada à colheita - percentual do total geral";"8,35";"0,21";"-";"0,21";"3,55"
"2400208";"Açu (RN)";"2020";"Área colhida (Hectares)";"235";"6";"-";"6";"100"
"2400208";"Açu (RN)";"2020";"Área colhida - percentual do total geral";"9,97";"0,25";"-";"0,25";"4,24"
"2400208";"Açu (RN)";"2020";"Quantidade produzida (Toneladas)";"9175";"74";"-";"63";"2405"
"2400208";"Açu (RN)";"2020";"Rendimento médio da produção (Quilogramas por Hectare)";"39043";"12333";"-";"10500";"24050"
"2400208";"Açu (RN)";"2020";"Valor da produção (Mil Reais)";"5505";"30";"-";"27";"1924"
"2400208";"Açu (RN)";"2020";"Valor da produção - percentual do total geral";"35,18";"0,19";"-";"0,17";"12,29"
"2400307";"Afonso Bezerra (RN)";"2020";"Área plantada ou destinada à colheita (Hectares)";"60";"-";"-";"3";"300"
"2400307";"Afonso Bezerra (RN)";"2020";"Área plantada ou destinada à colheita - percentual do total geral";"4,01";"-";"-";"0,20";"20,03"
"2400307";"Afonso Bezerra (RN)";"2020";"Área colhida (Hectares)";"60";"-";"-";"3";"300"
"2400307";"Afonso Bezerra (RN)";"2020";"Área colhida - percentual do total geral";"4,60";"-";"-";"0,23";"23,02"
"2400307";"Afonso Bezerra (RN)";"2020";"Quantidade produzida (Toneladas)";"2400";"-";"-";"28";"6777"
"2400307";"Afonso Bezerra (RN)";"2020";"Rendimento médio da produção (Quilogramas por Hectare)";"40000";"-";"-";"9333";"22590"
"2400307";"Afonso Bezerra (RN)";"2020";"Valor da produção (Mil Reais)";"1440";"-";"-";"10";"5422"
"2400307";"Afonso Bezerra (RN)";"2020";"Valor da produção - percentual do total geral";"12,86";"-";"-";"0,09";"48,41"
"2400406";"Água Nova (RN)";"2020";"Área plantada ou destinada à colheita (Hectares)";"4";"-";"-";"-";"-"
"2400406";"Água Nova (RN)";"2020";"Área plantada ou destinada à colheita - percentual do total geral";"1,06";"-";"-";"-";"-"
"2400406";"Água Nova (RN)";"2020";"Área colhida (Hectares)";"4";"-";"-";"-";"-"
"2400406";"Água Nova (RN)";"2020";"Área colhida - percentual do total geral";"1,93";"-";"-";"-";"-"
"2400406";"Água Nova (RN)";"2020";"Quantidade produzida (Toneladas)";"90";"-";"-";"-";"-"
"2400406";"Água Nova (RN)";"2020";"Rendimento médio da produção (Quilogramas por Hectare)";"22500";"-";"-";"-";"-"
"2400406";"Água Nova (RN)";"2020";"Valor da produção (Mil Reais)";"203";"-";"-";"-";"-"
"2400406";"Água Nova (RN)";"2020";"Valor da produção - percentual do total geral";"51,92";"-";"-";"-";"-"
"2400505";"Alexandria (RN)";"2020";"Área plantada ou destinada à colheita (Hectares)";"2";"-";"-";"-";"-"
"2400505";"Alexandria (RN)";"2020";"Área plantada ou destinada à colheita - percentual do total geral";"0,38";"-";"-";"-";"-"
"2400505";"Alexandria (RN)";"2020";"Área colhida (Hectares)";"2";"-";"-";"-";"-"
"2400505";"Alexandria (RN)";"2020";"Área colhida - percentual do total geral";"0,60";"-";"-";"-";"-"
"2400505";"Alexandria (RN)";"2020";"Quantidade produzida (Toneladas)";"50";"-";"-";"-";"-"
"2400505";"Alexandria (RN)";"2020";"Rendimento médio da produção (Quilogramas por Hectare)";"25000";"-";"-";"-";"-"
"2400505";"Alexandria (RN)";"2020";"Valor da produção (Mil Reais)";"120";"-";"-";"-";"-"
"2400505";"Alexandria (RN)";"2020";"Valor da produção - percentual do total geral";"29,85";"-";"-";"-";"-"
"2400604";"Almino Afonso (RN)";"2020";"Área plantada ou destinada à colheita (Hectares)";"-";"5";"-";"-";"-"
"2400604";"Almino Afonso (RN)";"2020";"Área plantada ou destinada à colheita - percentual do total geral";"-";"1,54";"-";"-";"-"
"2400604";"Almino Afonso (RN)";"2020";"Área colhida (Hectares)";"-";"5";"-";"-";"-"
"2400604";"Almino Afonso (RN)";"2020";"Área colhida - percentual do total geral";"-";"1,83";"-";"-";"-"
"2400604";"Almino Afonso (RN)";"2020";"Quantidade produzida (Toneladas)";"-";"50";"-";"-";"-"
"2400604";"Almino Afonso (RN)";"2020";"Rendimento médio da produção (Quilogramas por Hectare)";"-";"10000";"-";"-";"-"
"2400604";"Almino Afonso (RN)";"2020";"Valor da produção (Mil Reais)";"-";"58";"-";"-";"-"
"2400604";"Almino Afonso (RN)";"2020";"Valor da produção - percentual do total geral";"-";"6,07";"-";"-";"-"
"2400703";"Alto do Rodrigues (RN)";"2020";"Área plantada ou destinada à colheita (Hectares)";"950";"-";"-";"-";"-"
"2400703";"Alto do Rodrigues (RN)";"2020";"Área plantada ou destinada à colheita - percentual do total geral";"56,62";"-";"-";"-";"-"
"2400703";"Alto do Rodrigues (RN)";"2020";"Área colhida (Hectares)";"950";"-";"-";"-";"-"
"2400703";"Alto do Rodrigues (RN)";"2020";"Área colhida - percentual do total geral";"56,62";"-";"-";"-";"-"
"2400703";"Alto do Rodrigues (RN)";"2020";"Quantidade produzida (Toneladas)";"38000";"-";"-";"-";"-"
"2400703";"Alto do Rodrigues (RN)";"2020";"Rendimento médio da produção (Quilogramas por Hectare)";"40000";"-";"-";"-";"-"
"2400703";"Alto do Rodrigues (RN)";"2020";"Valor da produção (Mil Reais)";"22800";"-";"-";"-";"-"
"2400703";"Alto do Rodrigues (RN)";"2020";"Valor da produção - percentual do total geral";"84,90";"-";"-";"-";"-"
"2400802";"Angicos (RN)";"2020";"Área plantada ou destinada à colheita (Hectares)";"-";"-";"-";"-";"-"
"2400802";"Angicos (RN)";"2020";"Área plantada ou destinada à colheita - percentual do total geral";"-";"-";"-";"-";"-"
"2400802";"Angicos (RN)";"2020";"Área colhida (Hectares)";"-";"-";"-";"-";"-"
"2400802";"Angicos (RN)";"2020";"Área colhida - percentual do total geral";"-";"-";"-";"-";"-"
"2400802";"Angicos (RN)";"2020";"Quantidade produzida (Toneladas)";"-";"-";"-";"-";"-"
"2400802";"Angicos (RN)";"2020";"Rendimento médio da produção (Quilogramas por Hectare)";"-";"-";"-";"-";"-"
"2400802";"Angicos (RN)";"2020";"Valor da produção (Mil Reais)";"-";"-";"-";"-";"-"
"2400802";"Angicos (RN)";"2020";"Valor da produção - percentual do total geral";"-";"-";"-";"-";"-"
"2400901";"Antônio Martins (RN)";"2020";"Área plantada ou destinada à colheita (Hectares)";"3";"-";"-";"-";"-"
"2400901";"Antônio Martins (RN)";"2020";"Área plantada ou destinada à colheita - percentual do total geral";"0,38";"-";"-";"-";"-"
"2400901";"Antônio Martins (RN)";"2020";"Área colhida (Hectares)";"2";"-";"-";"-";"-"
"2400901";"Antônio Martins (RN)";"2020";"Área colhida - percentual do total geral";"0,35";"-";"-";"-";"-"
"2400901";"Antônio Martins (RN)";"2020";"Quantidade produzida (Toneladas)";"45";"-";"-";"-";"-"
"2400901";"Antônio Martins (RN)";"2020";"Rendimento médio da produção (Quilogramas por Hectare)";"22500";"-";"-";"-";"-"
"2400901";"Antônio Martins (RN)";"2020";"Valor da produção (Mil Reais)";"88";"-";"-";"-";"-"
"2400901";"Antônio Martins (RN)";"2020";"Valor da produção - percentual do total geral";"14,43";"-";"-";"-";"-"
"2401008";"Apodi (RN)";"2020";"Área plantada ou destinada à colheita (Hectares)";"80";"40";"-";"25";"700"
"2401008";"Apodi (RN)";"2020";"Área plantada ou destinada à colheita - percentual do total geral";"1,65";"0,83";"-";"0,52";"14,47"
"2401008";"Apodi (RN)";"2020";"Área colhida (Hectares)";"80";"40";"-";"25";"700"
"2401008";"Apodi (RN)";"2020";"Área colhida - percentual do total geral";"1,65";"0,83";"-";"0,52";"14,47"
"2401008";"Apodi (RN)";"2020";"Quantidade produzida (Toneladas)";"2251";"392";"-";"214";"20297"
"2401008";"Apodi (RN)";"2020";"Rendimento médio da produção (Quilogramas por Hectare)";"28138";"9800";"-";"8560";"28996"
"2401008";"Apodi (RN)";"2020";"Valor da produção (Mil Reais)";"2926";"235";"-";"118";"17252"
"2401008";"Apodi (RN)";"2020";"Valor da produção - percentual do total geral";"5,11";"0,41";"-";"0,21";"30,12"
"2401107";"Areia Branca (RN)";"2020";"Área plantada ou destinada à colheita (Hectares)";"-";"-";"-";"120";"-"
"2401107";"Areia Branca (RN)";"2020";"Área plantada ou destinada à colheita - percentual do total geral";"-";"-";"-";"6,43";"-"
"2401107";"Areia Branca (RN)";"2020";"Área colhida (Hectares)";"-";"-";"-";"30";"-"
"2401107";"Areia Branca (RN)";"2020";"Área colhida - percentual do total geral";"-";"-";"-";"1,69";"-"
"2401107";"Areia Branca (RN)";"2020";"Quantidade produzida (Toneladas)";"-";"-";"-";"345";"-"
"2401107";"Areia Branca (RN)";"2020";"Rendimento médio da produção (Quilogramas por Hectare)";"-";"-";"-";"11500";"-"
"2401107";"Areia Branca (RN)";"2020";"Valor da produção (Mil Reais)";"-";"-";"-";"328";"-"
"2401107";"Areia Branca (RN)";"2020";"Valor da produção - percentual do total geral";"-";"-";"-";"18,55";"-"
"2401206";"Arês (RN)";"2020";"Área plantada ou destinada à colheita (Hectares)";"6";"-";"-";"250";"-"
"2401206";"Arês (RN)";"2020";"Área plantada ou destinada à colheita - percentual do total geral";"0,07";"-";"-";"2,96";"-"
"2401206";"Arês (RN)";"2020";"Área colhida (Hectares)";"6";"-";"-";"2";"-"
"2401206";"Arês (RN)";"2020";"Área colhida - percentual do total geral";"0,11";"-";"-";"0,04";"-"
"2401206";"Arês (RN)";"2020";"Quantidade produzida (Toneladas)";"149";"-";"-";"19";"-"
"2401206";"Arês (RN)";"2020";"Rendimento médio da produção (Quilogramas por Hectare)";"24833";"-";"-";"9500";"-"
"2401206";"Arês (RN)";"2020";"Valor da produção (Mil Reais)";"179";"-";"-";"10";"-"
"2401206";"Arês (RN)";"2020";"Valor da produção - percentual do total geral";"0,40";"-";"-";"0,02";"-"
"2401305";"Augusto Severo (RN)";"2020";"Área plantada ou destinada à colheita (Hectares)";"-";"-";"-";"-";"-"
"2401305";"Augusto Severo (RN)";"2020";"Área plantada ou destinada à colheita - percentual do total geral";"-";"-";"-";"-";"-"
"2401305";"Augusto Severo (RN)";"2020";"Área colhida (Hectares)";"-";"-";"-";"-";"-"
"2401305";"Augusto Severo (RN)";"2020";"Área colhida - percentual do total geral";"-";"-";"-";"-";"-"
"2401305";"Augusto Severo (RN)";"2020";"Quantidade produzida (Toneladas)";"-";"-";"-";"-";"-"
"2401305";"Augusto Severo (RN)";"2020";"Rendimento médio da produção (Quilogramas por Hectare)";"-";"-";"-";"-";"-"
"2401305";"Augusto Severo (RN)";"2020";"Valor da produção (Mil Reais)";"-";"-";"-";"-";"-"
"2401305";"Augusto Severo (RN)";"2020";"Valor da produção - percentual do total geral";"-";"-";"-";"-";"-"
"2401404";"Baía Formosa (RN)";"2020";"Área plantada ou destinada à colheita (Hectares)";"-";"50";"-";"-";"-"
"2401404";"Baía Formosa (RN)";"2020";"Área plantada ou destinada à colheita - percentual do total geral";"-";"0,25";"-";"-";"-"
"2401404";"Baía Formosa (RN)";"2020";"Área colhida (Hectares)";"-";"50";"-";"-";"-"
"2401404";"Baía Formosa (RN)";"2020";"Área colhida - percentual do total geral";"-";"0,25";"-";"-";"-"
"2401404";"Baía Formosa (RN)";"2020";"Quantidade produzida (Toneladas)";"-";"475";"-";"-";"-"
"2401404";"Baía Formosa (RN)";"2020";"Rendimento médio da produção (Quilogramas por Hectare)";"-";"9500";"-";"-";"-"
"2401404";"Baía Formosa (RN)";"2020";"Valor da produção (Mil Reais)";"-";"713";"-";"-";"-"
"2401404";"Baía Formosa (RN)";"2020";"Valor da produção - percentual do total geral";"-";"0,47";"-";"-";"-"
"2401453";"Baraúna (RN)";"2020";"Área plantada ou destinada à colheita (Hectares)";"400";"10";"-";"25";"600"
"2401453";"Baraúna (RN)";"2020";"Área plantada ou destinada à colheita - percentual do total geral";"3,21";"0,08";"-";"0,20";"4,81"
"2401453";"Baraúna (RN)";"2020";"Área colhida (Hectares)";"400";"10";"-";"25";"600"
"2401453";"Baraúna (RN)";"2020";"Área colhida - percentual do total geral";"3,21";"0,08";"-";"0,20";"4,81"
